epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,249.583,3.07435,10.4178,2.21056,0,0,0,0,2.74172,nan,2.04029,0.000552562,0.000552562,0.000552562
2,713.95,3.16882,4.68562,2.14968,0.00026,0.41837,0.00022,5e-05,2.7462,9.97946,2.23319,0.00109726,0.00109726,0.00109726
3,1167.73,3.12287,4.57634,2.22352,0,0,0,0,2.46984,3.67025,1.72172,0.00163095,0.00163095,0.00163095
4,1777.93,3.02932,4.48185,2.1613,0.00333,0.16327,0.00189,0.00049,2.64798,3.58867,1.93019,0.00161749,0.00161749,0.00161749
5,2171.61,3.03121,4.41079,2.1242,0,0,0,0,2.75122,4.08052,1.99569,0.00160099,0.00160099,0.00160099
6,2791.5,2.97124,4.31619,2.05296,0.00104,0.52041,0.00672,0.00207,2.61032,4.72653,1.89433,0.00158448,0.00158448,0.00158448
7,3404.01,2.92808,4.34225,2.1066,0.00038,0.63265,0.00768,0.00266,2.6188,10.0277,1.95632,0.00156798,0.00156798,0.00156798
8,4150.49,2.80801,4.14475,1.97675,0.10233,0.0102,0.0255,0.01058,2.51661,5.24128,1.8433,0.00155148,0.00155148,0.00155148
9,4630.94,2.82085,4.12774,1.97742,0.09436,0.04082,0.03215,0.01099,2.499,9.84025,1.85824,0.00153497,0.00153497,0.00153497
10,5324.12,2.91285,4.17302,2.09424,0.00345,0.47959,0.02711,0.00926,2.43219,3.49375,1.80273,0.00151847,0.00151847,0.00151847
11,6010.55,2.65403,4.04368,1.88194,0.13079,0.04082,0.04615,0.01463,2.46668,3.88945,1.77116,0.00150197,0.00150197,0.00150197
12,6734.25,2.72324,3.98439,1.93218,0.00351,0.28571,0.00977,0.00301,2.51195,3.66571,1.82882,0.00148546,0.00148546,0.00148546
13,7231,2.78133,3.96629,2.00103,0.07311,0.02041,0.01848,0.00624,2.50032,3.67697,1.91895,0.00146896,0.00146896,0.00146896
14,7990.84,2.72897,3.94331,1.94102,0.01119,0.22449,0.01257,0.00487,2.3875,3.9976,1.72741,0.00145246,0.00145246,0.00145246
